Rank,Well,Source,Score,Flow Rate,Temperature,Power,Transmissivity,Permeability
1,BLT-01,Official Dataset,0.7212552554684246,105.0,77.0,5.1,9.3,82.0
2,VRE-01,ThermoGIS Scout,0.7034726949240394,102.0,79.0,5.2,8.5,69.0
3,ZST-01,ThermoGIS Scout,0.5945440971677718,84.0,79.0,4.2,7.0,71.0
4,BKN-01,ThermoGIS Scout,0.5554081232188025,79.0,80.0,4.0,6.1,53.0
5,ODK-01,ThermoGIS Scout,0.544801855807266,75.0,81.0,3.8,6.0,63.0
6,JUT-01,Official Dataset,0.36792753114949406,55.0,72.0,2.3,4.8,40.0
7,PKP-01,Official Dataset,0.1,0.0,88.0,0.0,0.1,1.0
8,EVD-01,Official Dataset,0.03350062577435646,0.0,72.0,0.0,0.4,6.0
9,GLA-01,ThermoGIS Corridor Optimisation,,140.0,70.0,6.1,15.2,
10,GLA-02,ThermoGIS Corridor Optimisation,,132.0,71.0,5.7,13.4,
